Datetime,DirectConsumption(W),BatteryDischarging(W),ExternalEnergySupply(W),TotalConsumption(W),GridFeedIn(W),BatteryCharging(W),PV_PowerGeneration(W),temperature,radiation
2024-08-29 00:00:00,0.0,0.0,2457.0,2457.0,0.0,0.0,0.0,22.3,0.0
2024-08-29 00:15:00,0.0,0.0,2453.0,2453.0,0.0,0.0,0.0,22.0,0.0
2024-08-29 00:30:00,0.0,0.0,2452.0,2452.0,0.0,0.0,0.0,21.700000000000003,0.0
2024-08-29 00:45:00,0.0,0.0,2403.0,2403.0,0.0,0.0,0.0,21.4,0.0
2024-08-29 01:00:00,0.0,0.0,2405.0,2405.0,0.0,0.0,0.0,21.1,0.0
2024-08-29 01:15:00,0.0,0.0,2465.0,2465.0,0.0,0.0,0.0,20.925,0.0
2024-08-29 01:30:00,0.0,0.0,2452.0,2452.0,0.0,0.0,0.0,20.75,0.0
2024-08-29 01:45:00,0.0,0.0,2389.0,2389.0,0.0,0.0,0.0,20.575,0.0
2024-08-29 02:00:00,0.0,0.0,2353.0,2353.0,0.0,0.0,0.0,20.4,0.0
2024-08-29 02:15:00,0.0,0.0,2355.0,2355.0,0.0,0.0,0.0,20.425,0.0
2024-08-29 02:30:00,0.0,0.0,2398.0,2398.0,0.0,0.0,0.0,20.45,0.0
2024-08-29 02:45:00,0.0,0.0,2414.0,2414.0,0.0,0.0,0.0,20.475,0.0
2024-08-29 03:00:00,0.0,0.0,2416.0,2416.0,0.0,0.0,0.0,20.5,0.0
2024-08-29 03:15:00,0.0,0.0,2412.0,2412.0,0.0,0.0,0.0,20.175,0.0
2024-08-29 03:30:00,0.0,0.0,2413.0,2413.0,0.0,0.0,0.0,19.85,0.0
2024-08-29 03:45:00,0.0,0.0,2448.0,2448.0,0.0,0.0,0.0,19.525,0.0
2024-08-29 04:00:00,0.0,0.0,2518.0,2518.0,0.0,0.0,0.0,19.2,0.0
2024-08-29 04:15:00,0.0,0.0,2446.0,2446.0,0.0,0.0,0.0,19.0,0.0
2024-08-29 04:30:00,0.0,0.0,2372.0,2372.0,0.0,0.0,0.0,18.8,0.0
2024-08-29 04:45:00,0.0,0.0,3174.0,3174.0,0.0,0.0,0.0,18.6,0.0
2024-08-29 05:00:00,0.0,0.0,3585.0,3585.0,0.0,0.0,0.0,18.4,0.0
2024-08-29 05:15:00,0.0,0.0,3882.0,3882.0,0.0,0.0,0.0,18.3,0.0
2024-08-29 05:30:00,0.0,0.0,2824.0,2824.0,0.0,0.0,0.0,18.2,0.0
2024-08-29 05:45:00,0.0,0.0,2477.0,2477.0,0.0,0.0,0.0,18.1,0.0
2024-08-29 06:00:00,0.0,0.0,2464.0,2464.0,0.0,0.0,0.0,18.0,0.0
2024-08-29 06:15:00,0.0,0.0,4354.0,4354.0,0.0,0.0,0.0,17.9,0.0
2024-08-29 06:30:00,0.0,0.0,2481.0,2481.0,0.0,0.0,0.0,17.8,0.0
2024-08-29 06:45:00,0.0,0.0,2815.0,2815.0,0.0,0.0,0.0,17.700000000000003,0.0
2024-08-29 07:00:00,0.0,0.0,507.0,507.0,0.0,0.0,0.0,17.6,0.0
2024-08-29 07:15:00,8.0,0.0,108.0,116.0,0.0,0.0,8.0,18.05,12.25
2024-08-29 07:30:00,47.0,0.0,90.0,137.0,0.0,0.0,47.0,18.5,24.5
2024-08-29 07:45:00,94.0,0.0,109.0,203.0,0.0,0.0,94.0,18.95,36.75
2024-08-29 08:00:00,164.0,0.0,691.0,855.0,3.0,2.0,168.0,19.4,49.0
2024-08-29 08:15:00,185.0,0.0,22.0,207.0,20.0,119.0,323.0,20.1,86.25
2024-08-29 08:30:00,247.0,0.0,1.0,248.0,3.0,527.0,777.0,20.8,123.5
2024-08-29 08:45:00,257.0,0.0,3.0,261.0,5.0,738.0,1000.0,21.5,160.75
2024-08-29 09:00:00,382.0,36.0,65.0,483.0,67.0,790.0,1240.0,22.2,198.0
2024-08-29 09:15:00,189.0,0.0,2.0,191.0,5.0,1324.0,1518.0,22.8,241.0
2024-08-29 09:30:00,115.0,0.0,1.0,116.0,3.0,1600.0,1718.0,23.4,284.0
2024-08-29 09:45:00,98.0,0.0,2.0,100.0,4.0,1847.0,1949.0,24.0,327.0
2024-08-29 10:00:00,131.0,0.0,3.0,134.0,4.0,2045.0,2180.0,24.6,370.0
2024-08-29 10:15:00,436.0,0.0,7.0,443.0,6.0,1963.0,2405.0,25.1,410.0
2024-08-29 10:30:00,561.0,0.0,2.0,564.0,6.0,2024.0,2591.0,25.6,450.0
2024-08-29 10:45:00,266.0,0.0,4.0,270.0,39.0,2450.0,2755.0,26.1,490.0
2024-08-29 11:00:00,555.0,0.0,8.0,562.0,26.0,2354.0,2934.0,26.6,530.0
2024-08-29 11:15:00,453.0,0.0,5.0,458.0,104.0,2486.0,3043.0,27.025,562.25
2024-08-29 11:30:00,373.0,0.0,2.0,375.0,272.0,2501.0,3146.0,27.450000000000003,594.5
2024-08-29 11:45:00,235.0,0.0,0.0,236.0,1315.0,1685.0,3235.0,27.875,626.75
2024-08-29 12:00:00,457.0,0.0,0.0,457.0,2129.0,742.0,3328.0,28.3,659.0
2024-08-29 12:15:00,1082.0,0.0,1.0,1083.0,1921.0,417.0,3419.0,28.625,680.5
2024-08-29 12:30:00,1424.0,0.0,0.0,1424.0,2028.0,2.0,3454.0,28.950000000000003,702.0
2024-08-29 12:45:00,2761.0,0.0,1.0,2762.0,675.0,39.0,3475.0,29.275,723.5
2024-08-29 13:00:00,2691.0,0.0,0.0,2691.0,749.0,58.0,3498.0,29.6,745.0
2024-08-29 13:15:00,2704.0,0.0,4.0,2709.0,757.0,47.0,3508.0,29.875,751.0
2024-08-29 13:30:00,2748.0,0.0,1.0,2748.0,702.0,45.0,3495.0,30.15,757.0
2024-08-29 13:45:00,2719.0,0.0,1.0,2720.0,701.0,42.0,3462.0,30.425,763.0
2024-08-29 14:00:00,2717.0,0.0,1.0,2717.0,677.0,39.0,3432.0,30.7,769.0
2024-08-29 14:15:00,2789.0,178.0,24.0,2992.0,357.0,245.0,3391.0,30.9,745.25
2024-08-29 14:30:00,2366.0,0.0,0.0,2366.0,928.0,34.0,3328.0,31.1,721.5
2024-08-29 14:45:00,1308.0,0.0,0.0,1308.0,1904.0,39.0,3251.0,31.3,697.75
2024-08-29 15:00:00,1693.0,0.0,0.0,1693.0,1438.0,34.0,3165.0,31.5,674.0
2024-08-29 15:15:00,1665.0,0.0,0.0,1665.0,1349.0,33.0,3046.0,31.525,647.25
2024-08-29 15:30:00,1737.0,0.0,0.0,1737.0,1206.0,31.0,2974.0,31.55,620.5
2024-08-29 15:45:00,1691.0,0.0,0.0,1691.0,1154.0,29.0,2874.0,31.575000000000003,593.75
